SECTOR,SHELF,REEF_NAME,REEF_ID,LATITUDE,LONGITUDE,P_CODE,VISIT_NO,YEAR_CODE,REPORT_YEAR,SAMPLE_DATE,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,TOWS
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,25,201617,2017,2016-12-17,44.861,16.944,3.148,0,0,2,0.0740740740740741,27
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,27,201819,2019,2018-11-29,26.935,3.306,1.129,0,0,5,0.161290322580645,31
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RAP,28,201920,2020,2020-02-11,16.204,4.63,0.741,0,0,16,0.592592592592593,27
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,29,202021,2021,2021-01-13,21.797,8.125,0.625,0,0,5,0.15625,32
CA,I,LOW ISLANDS REEF,16028S,-16.383333,145.566667,RM,30,202122,2022,2022-04-19,41.211,13.828,0.234,0,0,8,0.25,32
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,1,199293,1993,1992-09-04,9.063,,1.354,0,0,,,48
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,2,199394,1994,1994-02-16,6.419,,0.811,1,0.027,,,37
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,3,199495,1995,1995-04-18,9.057,,0.943,1,0.019,,,53
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,4,199596,1996,1996-01-25,16.223,,1.489,1,0.021,,,47
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,5,199697,1997,1997-01-19,9.202,,1.011,0,0,,,47
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,6,199798,1998,1998-02-02,4.439,10.867,3.878,5,0.102,,,49
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,7,199899,1999,1999-02-02,5.185,11.806,1.898,1,0.019,,,54
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,10,200102,2002,2001-09-24,4.415,8.511,0.16,0,0,,,47
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,11,200203,2003,2002-10-24,3.056,7,0.722,0,0,,,45
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,12,200304,2004,2004-01-14,5.357,9.235,1.071,0,0,,,49
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,13,200405,2005,2005-02-01,4.423,9.231,0.673,0,0,,,52
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RAP,14,200506,2006,2005-11-25,7.745,9.657,1.029,0,0,11,0.215686274509804,51
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,15,200607,2007,2007-01-04,6.5,10.95,0.75,0,0,14,0.28,50
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RAP,18,200910,2010,2009-11-25,10.58,12.277,1.027,0,0,14,0.25,56
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RAP,20,201112,2012,2012-03-03,9.898,12.577,1.786,1,0.02,12,0.244897959183673,49
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,21,201213,2013,2013-01-15,8.393,14.04,1.696,32,0.571,8,0.142857142857143,56
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,23,201415,2015,2015-03-08,6.705,12.472,0.511,1,0.023,3,0.0681818181818182,44
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,25,201617,2017,2016-09-08,14.942,12.936,1.453,0,0,24,0.558139534883721,43
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,27,201819,2019,2019-02-25,4.444,5.556,0.88,0,0,14,0.259259259259259,54
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,29,202021,2021,2021-01-16,13.205,6.603,0.064,0,0,2,0.0512820512820513,39
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,30,202122,2022,2021-09-20,20.441,14.191,0.882,0,0,5,0.0980392156862745,51
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,2,199394,1994,1994-02-09,4.595,,0,0,0,,,37
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,3,199495,1995,1995-05-28,6.181,,0.069,0,0,,,36
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,4,199596,1996,1996-01-26,8.581,,1.081,0,0,,,37
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,6,199798,1998,1998-02-05,27.292,9.444,2.083,1,0.028,,,36
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,7,199899,1999,1999-02-08,8.542,10.486,0.972,0,0,,,36
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,10,200102,2002,2001-09-22,4.103,4.103,0.064,0,0,,,39
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,13,200405,2005,2005-02-03,13.5,10.563,0.125,0,0,,,40
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RAP,14,200506,2006,2005-10-22,12.292,10.139,1.319,0,0,0,0,36
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,15,200607,2007,2007-01-20,17.073,9.634,0.915,0,0,0,0,41
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RAP,16,200708,2008,2007-08-23,20.571,13.643,1.286,0,0,0,0,35
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,17,200809,2009,2009-01-03,31.25,14.188,2.063,0,0,2,0.05,40
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RAP,18,200910,2010,2009-11-25,31.711,10.066,1.645,0,0,3,0.0789473684210526,38
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RAP,20,201112,2012,2012-03-03,21.646,15.732,1.524,0,0,6,0.146341463414634,41
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,25,201617,2017,2016-12-19,23.257,18.75,1.776,0,0,2,0.0526315789473684,38
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,29,202021,2021,2021-01-17,34.063,17.431,1.458,0,0,1,0.0277777777777778,36
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,30,202122,2022,2021-09-20,35.594,27.031,1.313,0,0,,,40
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,4,199596,1996,1996-01-09,19.963,,1.985,10,0.147,,,68
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,5,199697,1997,1997-01-30,25.909,,1.883,9,0.117,,,77
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,6,199798,1998,1998-01-29,17.095,6.554,2.534,23,0.311,,,74
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,7,199899,1999,1999-01-27,22.644,7.011,2.443,11,0.126,,,87
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,8,199900,2000,2000-01-26,31.128,10.938,3.021,8,0.111,,,72
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,9,200001,2001,2001-02-03,25.194,6.796,2.254,7,0.099,,,71
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,11,200203,2003,2002-10-28,17.388,3.582,2.09,0,0,,,67
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,12,200304,2004,2004-01-08,15.617,4.253,2.468,0,0,,,77
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RAP,14,200506,2006,2005-10-17,15,5.333,1.667,0,0,12,0.16,75
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,15,200607,2007,2007-01-10,12.432,4.384,1.096,0,0,9,0.123287671232877,73
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RAP,16,200708,2008,2007-08-27,17.025,7.595,2.373,0,0,7,0.0886075949367089,79
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RAP,18,200910,2010,2009-11-22,20.25,4.808,2,0,0,14,0.215384615384615,65
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,19,201011,2011,2011-01-28,22.018,7.349,2.349,0,0,6,0.072289156626506,83
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,23,201415,2015,2015-03-04,19.653,5.361,1.583,48,0.533,7,0.0777777777777778,90
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,27,201819,2019,2019-02-20,7.928,4.013,1.217,0,0,5,0.0657894736842105,76
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RAP,28,201920,2020,2020-02-11,17.667,5.533,1.1,0,0,7,0.0933333333333333,75
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,29,202021,2021,2021-01-10,34.784,7.932,0.34,0,0,10,0.123456790123457,81
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,3,199495,1995,1994-09-30,32.167,,2,16,0.356,,,45
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,6,199798,1998,1998-01-28,19.602,4.318,2.443,8,0.182,,,44
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,9,200001,2001,2001-02-03,29.949,3.469,2.245,0,0,,,49
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,12,200304,2004,2004-01-08,17.766,4.894,2.5,1,0.021,,,47
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,15,200607,2007,2006-10-20,17.5,3.49,2.448,0,0,4,0.0833333333333333,48
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,23,201415,2015,2015-03-04,9.219,2.969,1.563,20,0.417,10,0.208333333333333,48
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RAP,28,201920,2020,2020-02-10,9.412,3.235,0.931,0,0,9,0.176470588235294,51
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,29,202021,2021,2021-01-10,25.95,3.9,0.65,1,0.02,4,0.08,50
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,30,202122,2022,2022-04-25,28.627,7.549,0.392,0,0,9,0.176470588235294,51
CA,M,MORNING REEF,15098S,-15.975,145.666667,RM,1,199293,1993,1993-04-29,33.472,,4.444,0,0,,,18
CA,M,MORNING REEF,15098S,-15.975,145.666667,RM,15,200607,2007,2006-10-21,16.667,7.381,2.5,0,0,5,0.238095238095238,21
CA,M,MORNING REEF,15098S,-15.975,145.666667,RM,17,200809,2009,2008-11-12,24.844,4.792,2.5,0,0,5,0.208333333333333,24
CA,M,MORNING REEF,15098S,-15.975,145.666667,RM,30,202122,2022,2022-04-25,28.466,7.727,1.364,0,0,3,0.136363636363636,22
CA,M,16013A,16013A,-16.013333,145.791667,RM,3,199495,1995,1994-10-30,27.083,,0.833,0,0,,,9
CA,M,16013A,16013A,-16.013333,145.791667,RM,6,199798,1998,1998-01-27,25,8.333,1.944,0,0,,,9
CA,M,16013A,16013A,-16.013333,145.791667,RM,9,200001,2001,2001-01-30,22.5,5.313,2.5,0,0,,,8
CA,M,16013A,16013A,-16.013333,145.791667,RM,12,200304,2004,2004-01-06,27.222,22.222,0.556,0,0,,,9
CA,M,16013A,16013A,-16.013333,145.791667,RM,15,200607,2007,2006-10-21,21,3,1.5,0,0,1,0.1,10
CA,M,16013A,16013A,-16.013333,145.791667,RAP,28,201920,2020,2020-02-08,21.389,8.333,2.5,0,0,10,1.11111111111111,9
CA,M,16013A,16013A,-16.013333,145.791667,RM,29,202021,2021,2021-01-11,24.375,16.5,1.25,0,0,6,0.6,10
CA,M,16013B,16013B,-16.013333,145.8,RM,3,199495,1995,1994-10-30,43.542,,2.083,0,0,,,6
CA,M,16013B,16013B,-16.013333,145.8,RM,6,199798,1998,1998-01-27,39.286,3.929,1.786,0,0,,,7
CA,M,16013B,16013B,-16.013333,145.8,RM,9,200001,2001,2001-01-30,43.333,2.5,2.5,0,0,,,6
CA,M,16013B,16013B,-16.013333,145.8,RM,12,200304,2004,2004-01-06,23.333,3.333,2.5,0,0,,,6
CA,M,16013B,16013B,-16.013333,145.8,RM,15,200607,2007,2006-10-21,47.143,2.5,0,0,0,3,0.428571428571429,7
CA,M,16013B,16013B,-16.013333,145.8,RAP,28,201920,2020,2020-02-08,25.357,6.071,1.786,0,0,2,0.285714285714286,7
CA,M,16013B,16013B,-16.013333,145.8,RM,29,202021,2021,2021-01-11,64.531,2.5,0,0,0,1,0.125,8
CA,M,16013C,16013C,-16.03,145.803333,RM,3,199495,1995,1994-10-30,35,,2.5,2,0.667,,,3
CA,M,16013C,16013C,-16.03,145.803333,RM,6,199798,1998,1998-01-27,20.625,5,3.75,1,0.25,,,4
CA,M,16013C,16013C,-16.03,145.803333,RM,9,200001,2001,2001-01-30,8.125,2.5,2.5,0,0,,,4
CA,M,16013C,16013C,-16.03,145.803333,RM,12,200304,2004,2004-01-06,6.25,2.5,2.5,0,0,,,4
CA,M,16013C,16013C,-16.03,145.803333,RM,15,200607,2007,2006-10-21,8.75,2.5,1.875,0,0,2,0.5,4
CA,M,16013C,16013C,-16.03,145.803333,RAP,28,201920,2020,2020-02-08,3.75,2.5,0.625,0,0,1,0.25,4
CA,M,16013C,16013C,-16.03,145.803333,RM,29,202021,2021,2021-01-11,22.5,3.75,0,0,0,,,4
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,1,199293,1993,1993-06-13,35.435,,3.478,1,0.043,,,23
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,3,199495,1995,1995-04-14,30.25,,1.625,2,0.1,,,20
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,4,199596,1996,1996-01-08,28.25,,2.125,1,0.05,,,20
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,6,199798,1998,1998-01-30,27.031,3.333,2.604,12,0.5,,,24
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,7,199899,1999,1999-01-26,19.3,6.3,3,7,0.28,,,25
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,8,199900,2000,2000-01-26,29.948,12.917,2.5,0,0,,,24
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,9,200001,2001,2001-02-03,19.091,7.727,2.386,0,0,,,22
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,10,200102,2002,2001-09-19,20.341,11.705,2.5,0,0,,,22
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,11,200203,2003,2002-10-25,12.619,3.69,2.5,0,0,,,21
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,12,200304,2004,2004-01-09,18.58,9.773,2.159,0,0,,,22
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,13,200405,2005,2005-01-30,18.409,5.568,1.818,0,0,,,22
CA,M,MACKAY REEF,16015S,-16.05,145.65,RAP,14,200506,2006,2005-11-24,21.364,6.818,1.818,0,0,8,0.363636363636364,22
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,15,200607,2007,2007-01-11,24.605,5.263,1.316,0,0,0,0,19
CA,M,MACKAY REEF,16015S,-16.05,145.65,RAP,16,200708,2008,2007-08-27,21.957,5.326,2.391,0,0,1,0.0434782608695652,23
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,17,200809,2009,2009-02-09,26.146,8.333,2.917,0,0,3,0.125,24
CA,M,MACKAY REEF,16015S,-16.05,145.65,RAP,18,200910,2010,2009-11-22,27.727,5.114,2.273,0,0,0,0,22
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,19,201011,2011,2011-01-29,30.435,12.174,2.283,0,0,1,0.0434782608695652,23
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,21,201213,2013,2013-01-07,33.25,8.1,2.4,5,0.2,2,0.08,25
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,23,201415,2015,2015-03-03,14.583,4.375,2.188,24,1,3,0.125,24
CA,M,MACKAY REEF,16015S,-16.05,145.65,RAP,24,201516,2016,2015-12-01,14.643,7.5,0,0,0,0,0,21
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,25,201617,2017,2016-12-04,13.696,6.63,2.174,0,0,3,0.130434782608696,23
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,27,201819,2019,2019-02-19,10.435,6.522,1.087,0,0,,,23
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,29,202021,2021,2021-01-10,32.228,8.37,1.304,0,0,4,0.173913043478261,23
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,30,202122,2022,2021-09-16,44.946,18.261,0.326,0,0,1,0.0434782608695652,23
CA,M,16017S,16017S,-16.083333,145.725,RM,2,199394,1994,1994-02-12,40.673,,1.731,2,0.154,,,13
CA,M,16017S,16017S,-16.083333,145.725,RM,8,199900,2000,2000-01-27,17.647,4.265,2.5,17,1,,,17
CA,M,16017S,16017S,-16.083333,145.725,RM,11,200203,2003,2002-10-28,15.833,4.333,2.5,0,0,,,15
CA,M,16017S,16017S,-16.083333,145.725,RM,15,200607,2007,2007-01-12,31.75,3.167,2.167,0,0,6,0.4,15
CA,M,16017S,16017S,-16.083333,145.725,RAP,18,200910,2010,2009-11-22,32.031,2.813,2.813,0,0,0,0,16
CA,M,16017S,16017S,-16.083333,145.725,RM,21,201213,2013,2013-01-08,20.147,2.5,2.941,15,0.882,0,0,17
CA,M,16017S,16017S,-16.083333,145.725,RM,27,201819,2019,2019-02-20,13.833,2.333,1.167,0,0,4,0.266666666666667,15
CA,M,UNDINE REEF (WEST),16020A,-16.125,145.666667,RM,1,199293,1993,1993-06-15,6.63,,1.522,2,0.043,,,46
CA,M,UNDINE REEF (WEST),16020A,-16.125,145.666667,RM,2,199394,1994,1994-02-12,11.007,,0.784,0,0,,,67
CA,M,UNDINE REEF (WEST),16020A,-16.125,145.666667,RM,3,199495,1995,1994-10-30,13.038,,0.764,2,0.028,,,72
CA,M,UNDINE REEF (WEST),16020A,-16.125,145.666667,RM,15,200607,2007,2007-01-12,4.356,5.947,0.909,0,0,10,0.151515151515152,66
CA,M,RUDDER REEF,16023S,-16.2,145.7,RM,1,199293,1993,1993-06-15,36.579,,2.237,1,0.026,,,38
CA,M,RUDDER REEF,16023S,-16.2,145.7,RM,4,199596,1996,1995-10-17,24.275,,1.9,3,0.06,,,50
CA,M,RUDDER REEF,16023S,-16.2,145.7,RM,7,199899,1999,1999-01-26,13.023,9.826,3.14,48,1.116,,,43
CA,M,RUDDER REEF,16023S,-16.2,145.7,RM,10,200102,2002,2001-09-11,10.698,6.279,1.86,0,0,,,43
CA,M,RUDDER REEF,16023S,-16.2,145.7,RM,13,200405,2005,2005-01-31,15.781,4.635,1.25,0,0,,,48
CA,M,RUDDER REEF,16023S,-16.2,145.7,RM,15,200607,2007,2006-10-21,18.171,7.622,2.195,1,0.024,5,0.121951219512195,41
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RM,5,199697,1997,1997-01-26,36.25,,1.607,13,0.31,,,42
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RM,8,199900,2000,2000-01-27,12.938,18.563,1.938,1,0.025,,,40
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RM,11,200203,2003,2002-10-30,10.438,10.688,1.563,0,0,,,40
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RM,15,200607,2007,2006-10-22,16.061,14.924,1.061,0,0,5,0.151515151515152,33
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RAP,18,200910,2010,2009-11-22,25.116,9.186,2.326,0,0,1,0.0232558139534884,43
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RM,21,201213,2013,2013-01-11,20.163,12.011,1.467,2,0.043,1,0.0217391304347826,46
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RM,27,201819,2019,2019-02-21,10.743,6.351,0.743,0,0,6,0.162162162162162,37
CA,M,TONGUE (2),16026S2,-16.316667,145.816667,RM,1,199293,1993,1992-09-10,8.033,,0.82,0,0,,,61
CA,M,TONGUE (2),16026S2,-16.316667,145.816667,RM,4,199596,1996,1996-01-14,5.577,,0.538,0,0,,,65
CA,M,TONGUE (2),16026S2,-16.316667,145.816667,RM,7,199899,1999,1999-02-01,4.034,8.409,0.739,3,0.068,,,44
CA,M,TONGUE (2),16026S2,-16.316667,145.816667,RM,10,200102,2002,2001-09-19,4.035,8.246,1.14,1,0.018,,,57
CA,M,TONGUE (2),16026S2,-16.316667,145.816667,RM,13,200405,2005,2005-01-31,2.794,4.926,0.331,0,0,,,68
CA,M,TONGUE (2),16026S2,-16.316667,145.816667,RM,15,200607,2007,2007-01-12,3.468,6.371,0.524,0,0,7,0.112903225806452,62
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,1,199293,1993,1993-05-25,19,,2.5,0,0,,,20
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,4,199596,1996,1996-01-20,23.571,,0.476,0,0,,,21
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,7,199899,1999,1999-02-04,40,5.441,2.5,0,0,,,17
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,10,200102,2002,2001-09-28,23.125,3.5,1.125,0,0,,,20
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,13,200405,2005,2005-01-26,26.08,4.886,2.159,0,0,,,22
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,15,200607,2007,2006-10-22,14.375,11,1.75,0,0,3,0.15,20
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,25,201617,2017,2016-09-15,30.5,16,2,0,0,13,0.65,20
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RM,1,199293,1993,1993-04-28,21.136,,0.909,0,0,,,11
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RM,4,199596,1996,1996-01-20,35.278,,1.667,0,0,,,9
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RM,7,199899,1999,1999-02-04,28.542,4.583,2.292,0,0,,,12
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RM,10,200102,2002,2001-09-11,16.923,3.269,2.115,0,0,,,13
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RM,13,200405,2005,2005-01-26,41.932,2.5,2.5,0,0,,,11
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RM,15,200607,2007,2006-10-22,20.208,2.5,2.5,0,0,0,0,12
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RAP,18,200910,2010,2009-11-25,44.25,2.5,2.5,0,0,0,0,10
CA,M,OYSTER REEF,16043A,-16.633333,145.933333,RM,1,199293,1993,1993-04-28,6.528,,0.556,0,0,,,36
CA,M,OYSTER REEF,16043A,-16.633333,145.933333,RM,4,199596,1996,1996-01-23,9.333,,1,0,0,,,30
CA,M,OYSTER REEF,16043A,-16.633333,145.933333,RM,7,199899,1999,1999-02-03,8.298,10.213,1.915,13,0.277,,,47
CA,M,OYSTER REEF,16043A,-16.633333,145.933333,RM,10,200102,2002,2001-09-11,2.798,15.476,0.595,1,0.024,,,42
CA,M,OYSTER REEF,16043A,-16.633333,145.933333,RM,13,200405,2005,2005-01-26,6.463,12.5,0.671,0,0,,,41
CA,M,OYSTER REEF,16043A,-16.633333,145.933333,RM,15,200607,2007,2007-01-05,4.214,16.714,0.786,0,0,1,0.0285714285714286,35
CA,M,VLASOFF REEF,16044B,-16.65,146,RM,2,199394,1994,1994-02-15,7.214,,1.143,0,0,,,35
CA,M,VLASOFF REEF,16044B,-16.65,146,RM,5,199697,1997,1996-10-29,8.106,,1.061,0,0,,,33
CA,M,VLASOFF REEF,16044B,-16.65,146,RM,8,199900,2000,2000-01-29,13.438,6.484,2.266,39,1.219,,,32
CA,M,VLASOFF REEF,16044B,-16.65,146,RM,11,200203,2003,2002-11-04,5.667,4.333,1.25,0,0,,,30
CA,M,VLASOFF REEF,16044B,-16.65,146,RAP,14,200506,2006,2005-11-25,11.286,4.429,1.571,0,0,1,0.0285714285714286,35
CA,M,VLASOFF REEF,16044B,-16.65,146,RM,15,200607,2007,2007-01-05,9.286,5.893,0.982,0,0,0,0,28
CA,M,VLASOFF REEF,16044B,-16.65,146,RM,21,201213,2013,2013-01-14,8.816,8.487,1.447,1,0.026,0,0,38
CA,M,VLASOFF REEF,16044B,-16.65,146,RM,27,201819,2019,2019-02-23,4.924,3.636,1.212,0,0,6,0.181818181818182,33
CA,M,UPOLU REEF,16046S,-16.675,145.933333,RM,3,199495,1995,1994-10-31,10.069,,0.486,0,0,,,36
CA,M,UPOLU REEF,16046S,-16.675,145.933333,RM,6,199798,1998,1998-02-02,11.1,7.3,1.8,2,0.08,,,25
CA,M,UPOLU REEF,16046S,-16.675,145.933333,RM,9,200001,2001,2001-02-05,3.264,10.139,1.389,3,0.083,,,36
CA,M,UPOLU REEF,16046S,-16.675,145.933333,RM,12,200304,2004,2004-01-14,2.708,11.146,0.625,0,0,,,24
CA,M,UPOLU REEF,16046S,-16.675,145.933333,RM,15,200607,2007,2007-01-05,2.417,10.417,0.583,0,0,1,0.0333333333333333,30
CA,M,HASTINGS REEF,16057S,-16.516667,146.016667,RM,1,199293,1993,1992-09-08,12.295,,1.475,1,0.016,,,61
CA,M,HASTINGS REEF,16057S,-16.516667,146.016667,RM,2,199394,1994,1994-02-06,13.008,,0.381,0,0,,,59
CA,M,HASTINGS REEF,16057S,-16.516667,146.016667,RM,3,199495,1995,1995-04-07,20.444,,0.847,0,0,,,62
